code,name,market,sector,signal,close,ret5d_pct,vol_ratio,atr_pct,turn20_oku,dev25_pct,above75,hi52w,ret1d_pct,flag_liquidity,flag_atr,flag_extended,flag_gap,ev_pct,win_rate,n_hist,ev_source,ev_stock_pct,n_stock,tp_ref,sl_ref
8306,三菱ＵＦＪフィナンシャル・グループ,プライム,銀行業,pullback,3652.0,-0.27,1.05,2.45,1349.1,0.44,True,False,-0.08,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.9,20,3834.6,3560.7
8354,ふくおかフィナンシャルグループ,プライム,銀行業,pullback,7790.0,0.28,1.29,2.25,46.3,0.58,True,False,1.17,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.94,11,8179.5,7595.2
9041,近鉄グループホールディングス,プライム,陸運業,pullback,3574.0,2.91,1.31,1.3,19.8,1.73,True,False,0.56,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.03,10,3752.7,3484.7
7337,ひろぎんホールディングス,プライム,銀行業,pullback,2390.0,1.66,1.02,2.29,12.8,1.39,True,False,0.7,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.42,13,2509.5,2330.2
1719,安藤・間,プライム,建設業,pullback,1936.5,3.01,1.2,1.71,12.5,1.67,True,False,2.73,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-0.03,19,2033.3,1888.1
9048,名古屋鉄道,プライム,陸運業,pullback,1921.5,2.59,3.21,1.17,12.0,1.96,True,False,0.68,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-0.05,12,2017.6,1873.5
8876,リログループ,プライム,サービス業,pullback,2259.0,5.51,1.09,2.38,11.7,3.2,True,False,4.25,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-1.02,8,2372.0,2202.5
3107,ダイワボウホールディングス,プライム,卸売業,pullback,3782.0,1.39,2.48,2.1,11.6,1.71,True,False,0.99,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.98,13,3971.1,3687.4
2146,ＵＴグループ,プライム,サービス業,pullback,242.0,8.04,1.24,2.42,11.5,5.64,True,True,3.42,OK,OK,OK,OK,0.01,41.1,3433,地合い別,2.23,5,254.1,235.9
9006,京浜急行電鉄,プライム,陸運業,pullback,1583.0,1.28,1.2,1.32,10.2,1.49,True,False,1.15,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-0.73,18,1662.2,1543.4
2784,アルフレッサ　ホールディングス,プライム,卸売業,pullback,2382.5,3.81,1.31,1.43,8.9,3.08,True,False,2.39,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-0.51,11,2501.6,2322.9
9045,京阪ホールディングス,プライム,陸運業,pullback,3264.0,1.65,1.07,1.39,8.7,1.79,True,False,0.9,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-1.43,9,3427.2,3182.4
2327,日鉄ソリューションズ,プライム,情報・通信業,pullback,3925.0,2.53,1.5,2.4,8.2,0.75,True,False,1.74,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.25,6,4121.2,3826.9
9031,西日本鉄道,プライム,陸運業,pullback,3149.0,1.65,1.76,1.84,6.7,1.54,True,False,0.7,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-1.5,4,3306.5,3070.3
9759,ＮＳＤ,プライム,情報・通信業,pullback,2914.0,3.57,1.27,1.99,6.5,1.71,True,False,1.64,OK,OK,OK,OK,0.01,41.1,3433,地合い別,1.16,4,3059.7,2841.2
8194,ライフコーポレーション,プライム,小売業,pullback,2735.0,2.82,1.09,2.39,6.0,2.2,True,False,1.9,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.55,2,2871.8,2666.6
6412,平和,プライム,機械,pullback,2232.0,3.86,1.38,1.44,5.6,1.27,True,False,1.09,OK,OK,OK,OK,0.01,41.1,3433,地合い別,1.63,3,2343.6,2176.2
7313,テイ・エス　テック,プライム,輸送用機器,pullback,1851.0,3.26,1.24,1.32,5.5,0.86,True,False,1.48,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-0.48,5,1943.6,1804.7
7458,第一興商,プライム,卸売業,pullback,1899.5,3.29,2.05,1.55,5.3,1.9,True,False,0.85,OK,OK,OK,OK,0.01,41.1,3433,地合い別,-0.83,4,1994.5,1852.0
8572,アコム,スタンダード,その他金融業,pullback,494.70001220703125,3.11,1.34,1.24,5.3,1.89,True,False,1.33,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.51,16,519.4,482.3
2353,日本駐車場開発,プライム,不動産業,pullback,271.0,3.83,1.01,2.48,5.2,1.21,True,False,1.88,OK,OK,OK,OK,0.01,41.1,3433,地合い別,0.27,4,284.6,264.2
4540,ツムラ,プライム,医薬品,breakout,3886.0,4.72,1.59,1.21,19.5,3.4,True,False,2.21,OK,OK,OK,OK,-0.13,38.5,2017,地合い別,-0.55,6,4080.3,3788.8
1820,西松建設,プライム,建設業,breakout,5729.0,4.14,1.55,1.63,6.8,2.98,True,False,2.25,OK,OK,OK,OK,-0.13,38.5,2017,地合い別,2.06,9,6015.4,5585.8
8002,丸紅,プライム,卸売業,pullback,5020.0,0.02,1.37,3.04,212.2,0.48,True,False,0.64,OK,NG,OK,OK,0.01,41.1,3433,地合い別,0.25,7,5271.0,4894.5
7014,名村造船所,スタンダード,輸送用機器,pullback,5060.0,8.35,1.35,5.08,82.2,8.32,True,False,8.47,OK,NG,NG,NG,0.01,41.1,3433,地合い別,,0,5313.0,4933.5
8359,八十二長野銀行,プライム,銀行業,pullback,2723.5,0.15,1.06,2.73,29.6,1.49,True,False,1.0,OK,NG,OK,OK,0.01,41.1,3433,地合い別,2.78,7,2859.7,2655.4
2160,ジーエヌアイグループ,グロース,医薬品,pullback,2993.0,2.25,1.05,3.31,28.6,4.9,True,False,5.72,OK,NG,OK,OK,0.01,41.1,3433,地合い別,,0,3142.7,2918.2
4373,シンプレクス・ホールディングス,プライム,情報・通信業,pullback,1171.0,3.9,1.15,3.26,16.7,0.03,True,False,0.95,OK,NG,OK,OK,0.01,41.1,3433,地合い別,-2.7,1,1229.5,1141.7
8338,筑波銀行,プライム,銀行業,pullback,739.0,1.51,1.03,4.35,12.6,0.06,True,False,-1.07,OK,NG,OK,OK,0.01,41.1,3433,地合い別,,0,776.0,720.5
8522,名古屋銀行,プライム,銀行業,pullback,7190.0,0.56,1.39,3.07,8.1,1.97,True,False,-0.55,OK,NG,OK,OK,0.01,41.1,3433,地合い別,,0,7549.5,7010.2
8386,百十四銀行,プライム,銀行業,pullback,3095.0,1.31,1.28,3.06,7.6,1.03,True,False,0.0,OK,NG,OK,OK,0.01,41.1,3433,地合い別,-2.7,1,3249.8,3017.6
8173,Ｊｏｓｈｉｎ,プライム,小売業,pullback,4280.0,2.15,1.03,3.49,7.3,0.79,True,False,0.82,OK,NG,OK,OK,0.01,41.1,3433,地合い別,,0,4494.0,4173.0
9075,福山通運,プライム,陸運業,pullback,6390.0,5.45,1.03,2.19,4.8,1.66,True,False,0.79,NG,OK,OK,OK,0.01,41.1,3433,地合い別,-2.7,1,6709.5,6230.2
7242,カヤバ,プライム,輸送用機器,pullback,4760.0,3.25,1.38,2.17,4.5,1.21,True,False,1.82,NG,OK,OK,OK,0.01,41.1,3433,地合い別,0.4,3,4998.0,4641.0
8057,内田洋行,プライム,卸売業,pullback,2264.0,8.07,1.01,3.34,4.5,1.47,True,False,0.0,NG,NG,OK,OK,0.01,41.1,3433,地合い別,,0,2377.2,2207.4
8818,京阪神ビルディング,プライム,不動産業,pullback,1133.0,1.16,1.7,1.91,4.2,1.83,True,False,2.07,NG,OK,OK,OK,0.01,41.1,3433,地合い別,,0,1189.7,1104.7
8803,平和不動産,プライム,不動産業,pullback,2388.0,2.71,1.09,1.13,3.8,0.74,True,False,1.4,NG,OK,OK,OK,0.01,41.1,3433,地合い別,-3.25,2,2507.4,2328.3
