code,name,market,sector,signal,close,ret5d_pct,vol_ratio,atr_pct,turn20_oku,dev25_pct,above75,hi52w,ret1d_pct,flag_liquidity,flag_atr,flag_extended,flag_gap,ev_pct,win_rate,n_hist,ev_source,ev_stock_pct,n_stock,tp_ref,sl_ref
4502,武田薬品工業,プライム,医薬品,pullback,5847.0,1.51,1.19,1.91,226.8,1.84,True,False,1.92,OK,OK,OK,OK,0.19,43.9,930,地合い別,-1.03,17,6139.4,5700.8
8601,大和証券グループ本社,プライム,証券、商品先物取引業,pullback,1836.5,0.11,1.01,2.37,82.8,0.96,True,False,-1.95,OK,OK,OK,OK,0.19,43.9,930,地合い別,0.99,8,1928.3,1790.6
4507,塩野義製薬,プライム,医薬品,pullback,2904.0,0.22,1.11,2.02,71.5,0.5,True,False,1.75,OK,OK,OK,OK,0.19,43.9,930,地合い別,-0.02,19,3049.2,2831.4
8354,ふくおかフィナンシャルグループ,プライム,銀行業,pullback,7735.0,0.06,1.11,2.3,45.7,0.01,True,False,-1.3,OK,OK,OK,OK,0.19,43.9,930,地合い別,0.87,11,8121.8,7541.6
3397,トリドールホールディングス,プライム,小売業,pullback,4337.0,0.35,1.07,1.95,13.4,1.12,True,False,-0.28,OK,OK,OK,OK,0.19,43.9,930,地合い別,-1.68,8,4553.9,4228.6
9404,日本テレビホールディングス,プライム,情報・通信業,pullback,3006.0,0.4,1.19,2.01,13.2,0.82,True,False,0.07,OK,OK,OK,OK,0.19,43.9,930,地合い別,-1.77,8,3156.3,2930.8
2607,不二製油,プライム,食料品,pullback,4550.0,3.5,1.05,2.24,13.0,0.48,True,False,0.02,OK,OK,OK,OK,0.19,43.9,930,地合い別,-0.83,4,4777.5,4436.2
5901,東洋製罐グループホールディングス,プライム,金属製品,pullback,4515.0,0.16,1.2,1.61,12.5,1.04,True,False,-0.02,OK,OK,OK,OK,0.19,43.9,930,地合い別,0.23,18,4740.8,4402.1
9048,名古屋鉄道,プライム,陸運業,pullback,1897.5,1.04,1.65,1.15,9.9,0.88,True,False,0.11,OK,OK,OK,OK,0.19,43.9,930,地合い別,-0.16,12,1992.4,1850.1
9936,王将フードサービス,プライム,小売業,pullback,2957.0,-0.47,1.44,1.43,7.7,0.78,True,False,-0.97,OK,OK,OK,OK,0.19,43.9,930,地合い別,-0.1,3,3104.8,2883.1
1820,西松建設,プライム,建設業,pullback,5563.0,-1.26,1.3,1.53,6.8,0.27,True,False,0.27,OK,OK,OK,OK,0.19,43.9,930,地合い別,0.44,15,5841.2,5423.9
2811,カゴメ,プライム,食料品,pullback,2736.5,0.0,1.16,1.29,6.8,0.75,True,False,-0.96,OK,OK,OK,OK,0.19,43.9,930,地合い別,2.07,6,2873.3,2668.1
9759,ＮＳＤ,プライム,情報・通信業,pullback,2878.0,2.49,1.08,2.07,6.4,0.71,True,False,-0.59,OK,OK,OK,OK,0.19,43.9,930,地合い別,1.27,4,3021.9,2806.0
3276,ＪＰＭＣ,プライム,不動産業,pullback,2262.0,0.71,1.75,0.93,5.4,0.55,True,False,1.43,OK,OK,OK,OK,0.19,43.9,930,地合い別,,0,2375.1,2205.4
6412,平和,プライム,機械,pullback,2215.0,3.6,1.22,1.47,5.4,0.76,True,False,-0.14,OK,OK,OK,OK,0.19,43.9,930,地合い別,1.37,3,2325.8,2159.6
6737,ＥＩＺＯ,プライム,電気機器,pullback,3095.0,3.27,1.02,2.47,5.4,1.52,True,False,1.48,OK,OK,OK,OK,0.19,43.9,930,地合い別,,0,3249.8,3017.6
2353,日本駐車場開発,プライム,不動産業,pullback,268.0,-0.37,1.4,2.48,5.2,0.45,True,False,-1.11,OK,OK,OK,OK,0.19,43.9,930,地合い別,-0.2,3,281.4,261.3
9956,バローホールディングス,プライム,小売業,breakout,3405.0,5.58,1.81,1.74,5.7,4.52,True,False,1.79,OK,OK,OK,OK,-0.09,40.4,344,地合い別,,0,3575.2,3319.9
8306,三菱ＵＦＪフィナンシャル・グループ,プライム,銀行業,pullback,3668.0,0.33,1.13,2.53,1367.6,0.87,True,False,-1.4,OK,NG,OK,OK,0.19,43.9,930,地合い別,0.92,20,3851.4,3576.3
8411,みずほフィナンシャルグループ,プライム,銀行業,pullback,8598.0,-0.01,1.02,2.84,710.9,1.08,True,False,-2.18,OK,NG,OK,OK,0.19,43.9,930,地合い別,1.89,11,9027.9,8383.0
6098,リクルートホールディングス,プライム,サービス業,pullback,16845.0,7.36,1.08,3.84,704.2,2.29,True,False,2.18,OK,NG,OK,OK,0.19,43.9,930,地合い別,,0,17687.2,16423.9
3349,コスモス薬品,プライム,小売業,pullback,6608.0,-3.08,1.92,2.96,28.8,0.89,True,False,-1.34,OK,NG,OK,OK,0.19,43.9,930,地合い別,0.98,7,6938.4,6442.8
7189,西日本フィナンシャルホールディングス,プライム,銀行業,pullback,4915.0,2.08,1.19,2.82,19.6,2.24,True,False,-1.15,OK,NG,OK,OK,0.19,43.9,930,地合い別,0.3,5,5160.8,4792.1
446A,ノースサンド,グロース,サービス業,pullback,2099.0,-2.33,1.34,6.57,14.2,4.4,True,False,4.32,OK,NG,OK,OK,0.19,43.9,930,地合い別,,0,2204.0,2046.5
8714,池田泉州ホールディングス,プライム,銀行業,pullback,1093.0,3.9,1.32,2.55,8.0,1.47,True,False,0.55,OK,NG,OK,OK,0.19,43.9,930,地合い別,1.1,6,1147.7,1065.7
9603,エイチ・アイ・エス,プライム,サービス業,pullback,1163.0,-3.88,1.09,2.7,5.3,0.13,True,False,-0.6,OK,NG,OK,OK,0.19,43.9,930,地合い別,-5.27,2,1221.2,1133.9
2659,サンエー,プライム,小売業,pullback,3425.0,2.39,1.07,1.64,4.8,1.96,True,False,0.0,NG,OK,OK,OK,0.19,43.9,930,地合い別,0.74,6,3596.2,3339.4
7458,第一興商,プライム,卸売業,pullback,1869.0,2.19,1.38,1.51,4.7,0.56,True,False,-0.24,NG,OK,OK,OK,0.19,43.9,930,地合い別,-0.83,4,1962.5,1822.3
3932,アカツキ,プライム,情報・通信業,pullback,3695.0,6.18,1.09,3.55,4.4,2.42,True,False,2.92,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,3879.8,3602.6
167A,リョーサン菱洋ホールディングス,プライム,卸売業,pullback,3245.0,4.17,1.09,1.88,4.3,2.04,True,False,1.41,NG,OK,OK,OK,0.19,43.9,930,地合い別,0.59,6,3407.2,3163.9
8057,内田洋行,プライム,卸売業,pullback,2246.0,0.99,1.02,3.38,4.3,1.12,True,False,1.81,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,2358.3,2189.8
8219,青山商事,プライム,小売業,pullback,763.0,0.53,1.33,1.54,4.3,0.01,True,False,-0.26,NG,OK,OK,OK,0.19,43.9,930,地合い別,2.3,3,801.1,743.9
6727,ワコム,プライム,電気機器,pullback,826.0,3.64,1.11,2.85,3.9,1.37,True,False,0.61,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,867.3,805.4
6998,日本タングステン,スタンダード,電気機器,pullback,3675.0,7.3,1.4,6.31,3.6,9.37,True,False,7.93,NG,NG,NG,NG,0.19,43.9,930,地合い別,,0,3858.8,3583.1
8613,丸三証券,プライム,証券、商品先物取引業,pullback,1291.0,-1.0,1.14,1.9,3.2,1.39,True,False,-0.54,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1355.5,1258.7
9746,ＴＫＣ,プライム,情報・通信業,pullback,4110.0,0.86,1.18,1.72,2.8,1.01,True,False,-0.12,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,4315.5,4007.2
8097,三愛オブリ,プライム,卸売業,pullback,2451.0,2.12,1.49,1.72,2.5,1.76,True,False,0.29,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,2573.6,2389.7
3539,ＪＭホールディングス,プライム,小売業,pullback,1442.0,6.74,1.47,3.2,2.4,0.47,True,False,-0.41,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,1514.1,1406.0
9039,サカイ引越センター,プライム,陸運業,pullback,2996.0,0.13,1.15,1.19,2.4,0.31,True,False,0.2,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,3145.8,2921.1
4274,細谷火工,スタンダード,化学,pullback,1236.0,12.77,6.22,5.28,2.2,12.55,True,False,10.65,NG,NG,NG,NG,0.19,43.9,930,地合い別,,0,1297.8,1205.1
9997,ベルーナ,プライム,小売業,pullback,1063.0,3.1,1.22,1.58,2.2,1.14,True,False,0.28,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1116.2,1036.4
2733,あらた,プライム,卸売業,pullback,2695.0,0.94,1.11,1.14,2.1,0.99,True,False,-0.48,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,2829.8,2627.6
4765,ＳＢＩグローバルアセットマネジメント,プライム,サービス業,pullback,627.0,0.64,1.19,1.98,2.0,0.1,True,False,0.32,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,658.4,611.3
6419,マースグループホールディングス,プライム,機械,pullback,3205.0,0.94,1.03,1.26,1.9,0.55,True,False,-0.93,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,3365.2,3124.9
7354,ダイレクトマーケティングミックス,スタンダード,サービス業,pullback,397.0,-1.49,1.04,5.67,1.8,3.95,True,False,1.79,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,416.9,387.1
8892,エスコン,プライム,不動産業,pullback,1115.0,1.36,1.06,1.37,1.8,0.23,True,False,0.45,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1170.8,1087.1
7231,トピー工業,プライム,輸送用機器,pullback,3110.0,2.64,1.27,2.12,1.7,1.88,True,False,2.98,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,3265.5,3032.2
2749,ＪＰホールディングス,プライム,サービス業,pullback,672.0,1.82,1.79,1.64,1.6,2.4,True,False,3.23,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,705.6,655.2
8075,神鋼商事,プライム,卸売業,pullback,3110.0,2.13,1.0,2.03,1.5,1.23,True,False,0.97,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,3265.5,3032.2
4375,セーフィー,グロース,情報・通信業,pullback,680.0,1.64,1.12,3.24,1.4,2.26,True,False,4.29,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,714.0,663.0
4848,フルキャストホールディングス,プライム,サービス業,pullback,1886.0,4.37,1.05,1.79,1.3,1.83,True,False,1.4,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1980.3,1838.8
6425,ユニバーサルエンターテインメント,スタンダード,機械,pullback,742.0,4.51,1.09,3.56,1.3,1.08,True,False,1.78,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,779.1,723.4
4072,電算システムホールディングス,プライム,情報・通信業,pullback,3130.0,2.45,1.3,2.23,0.9,1.71,True,False,2.29,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,3286.5,3051.8
7931,未来工業,プライム,化学,pullback,3670.0,2.09,1.34,2.06,0.9,0.76,True,False,-1.48,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,3853.5,3578.2
9658,ビジネスブレイン太田昭和,プライム,情報・通信業,pullback,1101.0,3.19,1.06,2.06,0.9,2.17,True,False,2.23,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1156.0,1073.5
2792,ハニーズホールディングス,プライム,小売業,pullback,1452.0,0.35,1.52,1.05,0.7,0.56,True,False,0.83,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1524.6,1415.7
6835,アライドテレシスホールディングス,スタンダード,電気機器,pullback,268.0,5.1,1.65,2.72,0.6,4.57,True,False,5.51,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,281.4,261.3
9405,朝日放送グループホールディングス,プライム,情報・通信業,pullback,882.0,0.57,1.04,1.56,0.6,3.72,True,False,3.04,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,926.1,859.9
1904,大成温調,スタンダード,建設業,pullback,5150.0,1.78,1.3,1.12,0.5,0.8,True,False,0.78,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,5407.5,5021.2
9248,人・夢・技術グループ,スタンダード,サービス業,pullback,1699.0,1.74,3.91,1.74,0.5,0.13,True,False,0.65,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1784.0,1656.5
4771,エフアンドエム,スタンダード,サービス業,pullback,2746.0,3.31,1.23,2.83,0.4,1.92,True,False,2.08,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,2883.3,2677.3
5820,三ッ星,スタンダード,非鉄金属,pullback,848.0,0.95,1.0,3.12,0.4,3.42,True,False,0.83,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,890.4,826.8
6863,ニレコ,スタンダード,電気機器,pullback,999.0,1.42,1.81,2.86,0.4,2.22,True,False,1.63,NG,NG,OK,OK,0.19,43.9,930,地合い別,,0,1049.0,974.0
8285,三谷産業,スタンダード,卸売業,pullback,804.0,4.01,1.12,2.46,0.4,2.46,True,False,0.88,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,844.2,783.9
9850,グルメ杵屋,プライム,小売業,pullback,993.0,0.71,1.41,0.64,0.4,0.55,True,False,0.3,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1042.7,968.2
2307,クロスキャット,プライム,情報・通信業,pullback,1066.0,2.9,1.47,2.15,0.3,0.52,True,False,0.85,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1119.3,1039.3
4783,ＮＣＤ,スタンダード,情報・通信業,pullback,2641.0,0.65,1.11,2.11,0.3,0.93,True,False,1.11,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,2773.1,2575.0
6803,ティアック,スタンダード,電気機器,pullback,99.0,0.0,1.55,1.59,0.3,0.04,True,False,0.0,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,104.0,96.5
7463,アドヴァングループ,スタンダード,小売業,pullback,968.0,0.83,1.95,1.37,0.3,1.53,True,False,0.83,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1016.4,943.8
7683,ダブルエー,プライム,小売業,pullback,1412.0,0.43,2.3,0.79,0.3,0.54,True,False,0.36,NG,OK,OK,OK,0.19,43.9,930,地合い別,,0,1482.6,1376.7
