code,name,market,sector,signal,close,ret5d_pct,vol_ratio,atr_pct,turn20_oku,dev25_pct,above75,hi52w,ret1d_pct,flag_liquidity,flag_atr,flag_extended,flag_gap,ev_pct,win_rate,n_hist,ev_source,ev_stock_pct,n_stock,tp_ref,sl_ref
8601,大和証券グループ本社,プライム,証券、商品先物取引業,pullback,1831.0,1.89,1.61,2.33,85.9,0.6,True,False,-0.3,OK,OK,OK,OK,0.2,44.5,940,地合い別,0.87,9,1922.6,1785.2
9404,日本テレビホールディングス,プライム,情報・通信業,pullback,3018.0,2.57,1.25,1.98,13.5,1.11,True,False,0.4,OK,OK,OK,OK,0.2,44.5,940,地合い別,-1.55,9,3168.9,2942.5
3107,ダイワボウホールディングス,プライム,卸売業,pullback,3745.0,0.73,2.61,2.17,10.8,0.72,True,False,0.89,OK,OK,OK,OK,0.2,44.5,940,地合い別,0.9,13,3932.2,3651.4
4272,日本化薬,プライム,化学,pullback,2098.5,3.2,1.27,1.96,8.9,0.95,True,False,2.19,OK,OK,OK,OK,0.2,44.5,940,地合い別,0.68,12,2203.4,2046.0
3989,シェアリングテクノロジー,グロース,情報・通信業,pullback,1545.0,5.46,3.53,2.46,8.6,0.87,True,False,0.0,OK,OK,OK,OK,0.2,44.5,940,地合い別,,0,1622.2,1506.4
9031,西日本鉄道,プライム,陸運業,pullback,3127.0,0.71,1.08,1.88,6.4,1.0,True,False,-0.03,OK,OK,OK,OK,0.2,44.5,940,地合い別,-1.68,4,3283.4,3048.8
8194,ライフコーポレーション,プライム,小売業,pullback,2684.0,-0.48,1.04,2.38,5.9,0.55,True,False,-1.03,OK,OK,OK,OK,0.2,44.5,940,地合い別,-0.42,2,2818.2,2616.9
6412,平和,プライム,機械,pullback,2208.0,3.47,1.01,1.45,5.4,0.33,True,False,-0.32,OK,OK,OK,OK,0.2,44.5,940,地合い別,1.27,3,2318.4,2152.8
2270,雪印メグミルク,プライム,食料品,pullback,3745.0,0.81,1.04,1.9,5.2,0.7,True,False,0.4,OK,OK,OK,OK,0.2,44.5,940,地合い別,-0.81,9,3932.2,3651.4
8572,アコム,スタンダード,その他金融業,pullback,488.20001220703125,2.13,1.07,1.22,5.2,0.64,True,False,0.08,OK,OK,OK,OK,0.2,44.5,940,地合い別,0.43,16,512.6,476.0
